frame,obs,max_x,min_x,max_y,min_y,max_z,min_z
000061,1,32.994,31.953,23.466,22.726,-2.512,-3.045
000061,2,18.149,15.533,14.188,11.754,-1.013,-2.388
000062,0,21.934,17.724,5.035,2.899,-0.075,-1.678
000062,1,28.752,25.249,3.467,2.163,-0.379,-1.558
000062,2,43.917,41.8,0.352,-1.066,-0.406,-1.414
000062,3,64.969,64.553,-6.232,-7.115,-1.156,-1.163
000063,0,21.022,16.751,-6.879,-8.444,-0.423,-1.571
000063,1,12.5,10.501,4.255,1.709,0.049,-1.345
000066,0,32.74,30.513,-2.556,-3.906,0.308,-0.989
000066,1,39.662,39.241,0.765,-0.342,-0.619,-0.825
000077,0,38.727,38.072,1.79,0.452,-0.792,-1.29
000078,0,13.354,9.042,4.601,2.977,0.036,-1.55
000078,1,35.4,33.348,-2.206,-3.541,0.319,-0.879
000078,2,49.599,49.512,-0.918,-1.075,-0.185,-0.185
000081,0,75.454,75.26,4.274,3.797,-0.388,-0.39
000089,0,13.238,9.164,3.691,2.022,-0.395,-1.655
000089,1,26.398,23.087,-1.761,-3.215,-0.125,-1.293
000089,2,20.577,18.078,3.775,2.398,-0.306,-1.468
000089,3,14.453,10.957,-1.809,-2.374,-0.114,-1.578
000089,4,41.873,40.468,-1.584,-2.678,-0.125,-1.094
000090,0,19.493,17.42,16.174,12.588,-0.539,-2.085
000093,0,9.587,5.524,5.424,3.73,-0.157,-1.751
000093,1,23.547,18.969,-3.476,-5.121,0.051,-1.437
000093,2,14.144,10.633,5.219,3.731,-0.382,-1.684
000093,3,18.88,15.109,4.959,3.613,-0.253,-1.504
000093,4,43.458,42.047,3.664,2.145,-0.406,-0.899
000093,5,69.34,69.183,0.229,-0.64,-0.34,-0.341
000094,0,21.281,17.402,-1.465,-3.042,-0.558,-1.646
000098,0,23.269,20.344,-1.461,-3.179,-0.243,-1.625
000098,1,16.479,13.01,7.19,5.595,-0.213,-1.757
000098,2,24.302,20.936,7.552,6.211,-0.382,-1.676
000098,3,48.854,48.343,-9.355,-10.309,-1.087,-1.382
000098,4,69.188,69.026,-21.155,-21.343,-1.31,-1.312
000102,0,19.434,17.375,-14.606,-16.573,-0.301,-1.511
000102,1,35.144,33.939,-26.225,-26.903,-1.179,-1.2
000104,0,24.071,21.105,-6.246,-8.011,-0.278,-1.633
000104,1,17.959,13.823,4.712,2.19,-0.141,-1.456
000104,2,30.16,26.603,-0.036,-2.458,-0.391,-1.469
000104,3,37.152,35.256,-3.571,-4.838,-0.579,-1.392
000104,4,42.959,42.874,-6.96,-7.085,-1.471,-1.474
000104,5,51.249,51.218,-9.835,-10.314,-1.159,-1.465
000104,6,42.596,42.545,-15.167,-15.451,-0.743,-0.744
000106,0,44.904,44.629,0.459,-0.685,-0.148,-0.964
000106,1,15.935,12.098,10.445,8.989,-0.533,-1.829
000106,2,24.992,21.316,13.002,11.607,-0.339,-1.832
000106,3,53.219,51.266,11.502,10.242,-0.221,-1.486
000107,0,6.652,2.565,-1.725,-3.304,-0.179,-1.559
000107,1,11.787,8.214,-1.907,-3.415,-0.168,-1.518
000107,2,17.552,13.984,-1.739,-3.253,-0.121,-1.446
000107,3,23.329,21.234,4.093,2.614,-0.101,-1.476
000107,4,25.604,22.148,-2.021,-3.404,-0.121,-1.388
000107,5,32.637,30.551,-1.825,-2.99,-0.041,-1.35
000107,6,41.287,41.069,-1.536,-2.294,-0.658,-1.118
000108,0,15.078,12.264,0.819,-0.884,0.021,-1.551
000116,0,10.05,6.121,-2.438,-4.068,0.131,-1.547
000116,1,25.632,21.784,-2.402,-4.029,0.03,-1.391
000116,2,30.729,27.647,4.348,2.945,-0.413,-1.537
000116,3,38.474,38.118,2.448,0.979,-0.791,-1.272
000117,0,11.233,9.632,-2.615,-6.153,-0.206,-1.604
000117,1,12.449,10.747,9.685,5.704,-0.132,-1.649
000117,2,13.523,12.014,-2.333,-3.823,-0.289,-1.57
000117,3,14.741,13.511,8.276,6.612,-0.012,-0.301
000117,4,17.529,16.016,8.711,6.703,0.179,-1.437
000117,5,19.812,18.369,9.481,6.8,0.273,-1.523
000117,6,25.106,24.581,10.582,8.709,0.292,-0.975
000117,7,48.205,47.482,9.768,8.181,-0.177,-1.363
000122,0,21.311,18.504,0.8,-0.815,-0.324,-1.544
000124,0,39.322,38.051,-11.862,-12.626,0.334,0.143
000124,1,51.592,51.24,4.269,2.999,0.127,-0.201
000126,0,18.069,13.597,5.688,3.966,-0.327,-1.588
000128,0,21.966,17.657,14.742,12.762,-0.133,-1.868
000132,0,29.423,28.491,-5.262,-6.778,0.16,-1.131
000132,2,73.814,73.497,-17.624,-18.544,0.089,0.089
000134,0,14.411,11.115,4.138,2.47,-0.112,-1.523
000134,1,28.28,28.28,-22.48,-22.48,0.15,0.15
000134,2,28.378,28.001,-17.491,-18.593,0.154,-0.259
000135,0,23.807,20.948,7.078,5.593,-0.538,-1.835
000135,1,27.815,24.385,-2.007,-3.511,0.003,-1.29
000135,2,29.438,26.192,6.742,5.576,-0.541,-1.672
000135,3,37.9,34.498,6.858,5.561,-0.321,-1.601
000135,4,41.372,41.331,5.854,5.837,-0.885,-1.132
000135,5,30.099,28.418,24.499,22.938,-1.236,-2.468
000135,6,29.712,27.468,21.865,20.212,-1.126,-2.392
000137,0,39.838,39.838,0.768,0.768,-0.63,-0.63
000137,1,38.028,35.628,14.085,12.879,-0.356,-1.742
000137,2,56.776,56.11,14.229,13.019,-1.009,-1.3
000139,0,47.342,46.885,1.073,-0.054,-0.778,-1.311
000140,0,18.466,14.649,-2.408,-3.948,0.258,-1.331
000140,1,23.649,20.428,4.454,2.945,-0.11,-1.489
000140,2,32.095,30.856,2.581,0.945,0.307,-1.228
000140,3,29.274,27.465,-2.886,-4.086,-0.018,-0.696
000143,0,24.627,24.503,19.482,19.011,-1.176,-1.193
000143,1,42.839,40.877,27.159,26.23,-1.418,-1.978
000143,2,49.584,49.16,-22.898,-23.517,-1.212,-1.22
000151,0,5.499,1.814,4.066,2.285,-0.261,-1.726
000151,1,23.34,21.914,-7.941,-11.949,0.169,-0.992
000152,0,8.667,4.556,3.458,1.888,-0.253,-1.746
000152,1,8.414,4.831,-1.537,-3.196,0.078,-1.719
000152,2,13.537,9.71,-1.839,-2.626,-0.206,-1.641
000152,3,21.656,18.362,4.004,2.537,-0.235,-1.554
000152,4,18.592,14.832,-1.36,-2.886,-0.315,-1.525
000152,5,40.336,39.76,4.327,3.001,-0.839,-1.083
000152,6,45.564,45.227,-1.311,-2.542,-0.429,-0.985
000153,0,43.227,39.064,-3.799,-5.195,0.609,-0.825
000159,0,17.617,12.942,-3.139,-4.84,0.257,-1.487
000159,1,8.092,4.495,5.415,3.826,-0.363,-1.75
000159,2,12.86,8.96,5.402,3.73,-0.178,-1.614
000159,3,39.087,35.705,4.069,2.719,-0.097,-0.96
000159,4,23.277,19.782,-3.511,-4.399,-0.094,-1.241
000159,5,28.589,25.649,-3.894,-5.244,0.165,-1.13
000159,6,33.769,30.734,-4.102,-4.816,0.157,-1.007
000159,7,63.088,62.954,1.5,0.705,-0.29,-0.292
000161,0,14.976,11.173,6.702,5.087,-0.45,-1.887
000161,1,20.37,16.596,6.607,5.178,-0.536,-1.638
000161,10,33.126,31.732,-21.587,-23.004,1.298,0.328
000161,11,35.743,34.854,5.732,5.166,-0.952,-1.572
000161,12,32.729,29.292,-2.492,-3.719,-0.035,-1.144
000161,2,24.89,21.596,6.482,5.269,-0.558,-1.59
000161,3,29.225,27.31,6.404,5.302,-0.57,-1.529
000161,4,25.88,24.343,-7.19,-10.894,0.293,-0.651
000161,5,28.341,26.891,-7.762,-9.787,0.648,-0.556
000161,6,30.403,29.276,-7.117,-8.118,-0.034,-0.766
000161,7,23.767,23.642,-21.652,-21.812,0.308,0.308
000161,9,30.636,29.348,-21.282,-21.772,0.584,0.322
000168,0,29.821,26.685,2.315,0.721,-0.176,-1.334
000168,1,39.43,38.318,5.729,4.392,-0.341,-1.326
000168,2,32.894,31.616,-10.267,-13.215,-0.911,-1.772
000168,3,36.192,33.782,-16.879,-20.525,-1.068,-1.987
000169,0,8.502,5.319,-1.944,-3.476,-0.082,-1.653
000169,1,6.463,4.73,8.286,4.142,-0.189,-1.726
000169,10,37.53,36.853,8.963,4.722,0.327,-1.455
000169,11,22.267,19.012,-1.969,-3.324,-0.314,-1.47
000169,12,25.99,24.957,-4.48,-7.756,-0.156,-1.272
000169,13,40.866,40.588,-4.384,-6.629,-0.117,-0.652
000169,14,52.995,52.672,-1.984,-3.052,-0.901,-0.907
000169,2,9.114,7.49,7.897,4.26,-0.128,-1.629
000169,3,11.53,9.885,7.985,5.133,0.246,-1.617
000169,4,14.088,12.611,5.972,5.255,-0.251,-1.534
000169,5,16.815,15.337,7.351,4.194,-0.237,-1.593
000169,6,19.059,17.502,7.469,3.89,-0.188,-1.491
000169,7,21.434,20.007,7.231,4.621,-0.091,-0.73
000169,8,23.8,22.272,8.251,4.147,0.019,-1.363
000169,9,28.139,27.285,5.572,4.544,-0.191,-1.192
000170,0,28.781,27.301,-5.206,-7.033,-0.018,-1.221
000170,1,51.082,50.863,-12.673,-12.985,-0.209,-0.53
000170,2,72.98,72.624,-22.118,-23.011,0.088,0.088
000173,0,4.529,1.379,4.08,1.903,-0.109,-1.708
000173,1,9.05,5.477,2.849,0.594,-0.044,-1.606
000173,2,7.528,4.408,-2.397,-4.058,-0.324,-1.647
000173,3,15.491,12.207,1.079,-1.17,-0.071,-1.386
000173,4,32.495,31.316,-3.631,-4.764,-0.052,-1.052
000173,5,21.226,18.726,-6.061,-7.452,-0.218,-1.443
000173,6,24.369,23.387,-7.197,-7.685,-0.313,-1.322
000174,0,18.617,16.179,-9.096,-11.593,-0.203,-1.33
000174,1,36.603,35.301,-15.426,-17.158,-0.36,-1.048
000175,0,31.801,30.316,5.927,4.631,-0.239,-1.569
000175,1,39.198,36.768,5.345,5.089,-0.624,-1.227
000175,2,26.721,24.475,11.788,7.484,-0.005,-1.532
000181,0,8.058,4.711,-2.315,-3.886,-0.224,-1.644
000181,1,10.624,8.895,8.553,4.508,-0.147,-1.527
000181,2,16.009,14.543,7.479,4.766,-0.029,-1.47
000181,3,18.159,16.73,7.017,4.033,-0.048,-1.523
000181,4,20.51,19.169,6.597,4.477,0.04,-0.677
000181,5,13.071,9.606,-2.367,-3.917,-0.081,-1.62
000181,6,26.237,23.219,-2.46,-4.001,-0.149,-1.463
000181,7,22.934,21.644,4.848,3.908,-0.537,-1.51
000181,8,48.079,47.911,6.645,4.281,0.132,-1.054
000181,9,53.13,52.782,6.03,3.713,0.375,-0.911
000182,0,9.945,6.158,4.554,2.986,-0.354,-1.728
000182,1,31.636,28.934,4.215,2.779,-0.627,-1.451
000183,0,5.782,1.41,-1.855,-3.628,-0.136,-1.484
000183,1,11.603,9.987,7.7,3.973,0.05,-1.702
000183,2,28.13,24.78,-2.65,-3.346,0.294,-1.228
000183,3,43.077,40.16,-3.036,-4.308,0.335,-0.854
000183,4,46.891,46.283,3.821,2.563,-0.452,-1.007
000186,0,9.176,5.505,6.723,5.087,-0.247,-1.733
000186,1,5.801,2.288,-2.113,-3.879,-0.241,-1.627
000186,2,33.317,30.558,6.771,4.423,-0.253,-1.375
000186,3,50.352,48.378,4.735,1.123,-0.817,-1.075
000186,4,39.428,37.983,14.497,11.309,-0.372,-1.409
000186,5,25.881,22.76,16.04,14.065,-0.024,-1.598
000186,6,53.03,52.122,-2.403,-2.936,-0.89,-0.908
000188,0,14.716,10.414,-4.215,-6.094,0.108,-1.432
000188,1,19.718,16.548,0.601,-1.066,-0.188,-1.46
000188,2,33.657,33.003,-2.137,-3.427,-0.492,-1.096
000188,3,35.655,32.471,-7.269,-8.684,0.313,-1.202
000190,0,14.295,10.418,2.394,0.702,0.024,-1.398
000191,0,35.866,35.086,1.476,0.021,-0.534,-1.392
000191,1,4.903,1.107,4.294,2.704,-0.221,-1.7
000191,2,19.856,16.262,8.363,6.886,-0.29,-1.584
000191,3,16.535,13.024,4.225,2.67,-0.273,-1.611
000191,4,26.901,25.556,8.666,7.318,-0.179,-1.512
000191,5,31.658,28.548,5.532,4.297,-0.427,-1.491
000191,6,17.128,13.012,13.015,11.582,-0.267,-1.666
000191,7,24.635,23.958,13.332,11.94,-0.372,-1.53
000191,8,33.895,31.198,13.3,12.291,-0.065,-0.878
000192,0,39.934,39.557,1.858,0.48,-0.628,-1.332
000192,1,12.013,8.265,8.768,7.143,-0.181,-1.695
000192,2,16.295,14.12,9.088,7.445,-0.239,-1.643
000192,3,27.767,24.311,5.228,3.885,-0.33,-1.558
000192,4,36.799,35.697,5.679,4.577,-0.314,-1.402
000192,5,13.846,11.741,12.204,10.792,-0.147,-1.146
000194,0,22.645,19.394,3.178,1.463,-0.1,-1.406
000194,1,37.681,35.831,1.335,-0.039,-0.091,-0.951
000196,0,36.275,32.954,3.103,1.631,-1.135,-2.308
000197,0,14.592,11.323,6.912,5.422,-0.436,-1.772
000197,1,18.407,14.798,-2.022,-3.682,-0.136,-1.421
000197,2,20.689,16.723,6.799,5.375,-0.423,-1.701
000197,3,28.322,24.886,6.891,5.306,-0.016,-1.619
000197,4,34.803,31.718,5.721,5.564,-0.832,-1.566
000197,5,64.448,64.004,-2.451,-3.56,0.107,-0.694
000201,0,3.24,-0.963,-2.088,-3.679,0.097,-1.497
000201,1,7.933,4.228,-2.064,-3.682,-0.158,-1.559
000201,2,16.522,13.589,-1.17,-3.049,-0.105,-1.493
000201,3,19.35,16.027,6.567,4.926,-0.378,-1.641
000201,4,23.795,20.335,-0.028,-1.958,0.03,-1.381
000201,5,35.43,32.389,2.486,0.482,-0.054,-1.376
000201,6,37.735,37.344,9.93,8.603,-0.803,-1.288
000201,7,44.817,42.551,4.327,2.855,-0.133,-1.237
000203,0,52.312,51.808,17.305,16.473,-1.551,-1.906
000204,0,44.157,43.995,0.5,-0.677,-0.717,-0.721
000204,1,26.819,23.559,13.472,12.073,-0.526,-1.842
000207,0,29.234,25.662,14.833,13.225,-0.44,-1.744
000207,1,31.815,28.042,17.898,16.206,-0.556,-1.834
000207,2,48.51,48.169,14.887,13.643,-1.106,-1.404
000211,0,10.087,6.262,5.85,4.213,-0.182,-1.801
000211,1,26.112,22.018,6.309,4.906,-0.151,-1.544
000211,2,41.207,41.106,5.765,5.159,-0.876,-0.88
000211,3,43.694,43.128,-1.82,-3.234,-0.401,-0.936
000211,4,6.327,2.929,-1.768,-3.348,-0.187,-1.628
000212,0,7.838,6.178,8.439,4.722,0.075,-1.674
000212,1,21.672,18.103,-0.823,-2.736,-0.053,-1.515
000212,2,57.896,55.719,1.896,0.806,0.119,-0.974
000213,0,5.496,2.158,-2.102,-3.823,-0.35,-1.645
000213,1,7.683,6.008,6.919,4.541,-0.216,-1.69
000213,2,10.104,8.536,6.906,4.729,-0.202,-1.662
000213,3,12.47,10.864,8.105,4.755,-0.071,-1.645
000213,4,15.546,11.576,-1.806,-3.494,-0.144,-1.475
000213,5,18.193,16.515,7.915,3.842,-0.179,-1.584
000213,6,26.163,22.446,-2.282,-3.658,-0.132,-1.282
000213,7,20.718,19.301,6.617,4.677,-0.08,-0.796
000213,8,23.124,21.723,7.113,4.934,0.279,-0.382
000213,9,42.143,41.815,-2.539,-3.807,0.141,-0.891
000216,0,30.244,29.356,1.734,0.283,-0.211,-1.508
000216,1,16.275,12.601,9.119,7.593,-0.332,-1.622
000216,2,25.27,21.659,9.277,8.043,-0.322,-1.774
000216,3,34.741,32.37,9.727,8.459,-0.292,-1.492
000216,4,43.143,42.962,9.615,8.987,-1.202,-1.498
000218,0,3.531,-1.281,-1.981,-3.784,-0.169,-1.536
000218,1,9.818,6.052,-2.197,-3.757,-0.111,-1.421
000218,2,15.583,12.404,-2.086,-3.661,-0.08,-1.35
000218,3,20.138,16.589,6.859,5.384,-0.416,-1.838
000218,4,40.967,39.463,7.096,5.861,-0.374,-1.346
000218,5,44.021,42.888,-1.972,-3.351,0.139,-0.944
000218,6,44.965,44.776,5.933,5.891,-0.978,-1.241
000223,0,5.674,0.802,-2.613,-4.278,0.173,-1.601
000223,1,15.797,11.88,-3.768,-5.518,0.349,-1.217
000224,0,48.167,44.847,16.252,15.648,-0.191,-1.044
000226,0,43.55,39.938,-1.797,-3.128,-0.842,-1.592
000226,1,26.577,25.494,6.397,4.365,-0.353,-1.727
000226,2,24.514,23.19,6.749,4.729,-0.31,-0.89
000226,3,17.021,15.442,8.133,4.676,-0.334,-1.663
000226,4,12.227,10.556,8.899,4.707,-0.293,-1.579
000226,5,10.301,6.207,-1.574,-3.349,-0.03,-1.662
000226,6,6.288,2.865,3.476,1.951,-0.367,-1.716
000229,0,47.061,46.159,1.63,0.536,-0.161,-1.302
000230,0,50.982,50.714,14.658,13.516,-1.166,-1.494
000231,0,25.203,22.225,1.727,0.164,-0.274,-1.365
000231,1,33.276,32.301,4.766,3.337,-0.258,-1.262
000231,2,26.179,22.629,14.987,13.1,-0.187,-1.674
000231,3,41.768,39.984,16.747,15.251,-0.917,-1.531
000234,0,14.298,10.081,4.791,3.02,-0.304,-1.648
000234,1,13.66,9.987,7.619,6.049,-0.507,-1.906
000234,2,34.87,31.417,-1.433,-2.856,-0.047,-1.239
000234,3,21.605,18.531,4.817,3.453,-0.336,-1.553
000234,4,27.069,25.568,-5.51,-9.855,0.164,-0.856
000234,5,30.324,28.646,-5.567,-9.617,0.672,-0.738
000235,0,45.74,45.445,1.166,0.303,-0.155,-0.984
000235,1,16.809,12.851,9.79,8.137,-0.454,-1.847
000235,2,39.51,36.883,10.56,9.051,-0.117,-1.504
000236,0,31.665,30.982,1.203,-0.32,-0.042,-1.188
000236,1,15.724,11.876,8.658,7.079,0.002,-1.577
000236,2,14.617,11.432,4.513,2.884,-0.135,-1.571
000236,3,20.727,18.846,8.509,6.971,-0.363,-1.511
000236,4,26.562,23.677,4.149,2.719,-0.153,-1.316
000236,5,38.388,37.782,8.531,7.164,-0.101,-1.309
000236,6,16.725,13.73,12.909,11.438,-0.199,-1.578
000236,7,23.099,21.991,11.347,10.981,-0.141,-0.456
000237,0,30.271,29.127,-11.243,-13.073,-0.817,-1.233
000237,1,39.417,36.773,21.735,20.331,-0.726,-1.703
000239,0,24.592,23.007,-2.303,-6.338,-0.289,-1.307
000239,1,45.771,45.154,-2.255,-5.909,-0.156,-0.985
000242,0,24.065,20.12,-0.923,-2.972,0.28,-1.258
000242,1,23.945,20.675,6.582,4.936,-0.284,-1.578
000242,2,31.454,29.073,6.46,5.84,-0.463,-1.295
000246,0,34.365,33.533,1.677,0.233,-0.065,-1.313
000246,1,6.732,3.373,4.532,3.046,-0.297,-1.686
000246,2,10.898,7.407,9.236,7.789,-0.25,-1.383
000246,3,17.184,13.855,12.934,11.702,-0.195,-1.128
000246,4,24.665,23.065,8.036,7.592,-0.15,-1.305
000247,0,40.297,38.438,18.435,16.518,-0.713,-1.676
000248,0,38.378,37.952,1.598,0.198,-0.594,-1.266
000248,1,14.999,11.072,9.269,7.635,-0.103,-1.692
000248,2,14.245,10.493,4.979,3.429,-0.297,-1.624
000248,3,21.381,19.519,9.176,7.82,-0.503,-1.399
000248,4,24.242,21.857,5.366,3.941,-0.284,-1.514
000248,5,33.228,30.245,9.418,8.079,-0.24,-1.514
000248,6,34.423,31.775,5.071,4.505,-0.261,-1.45
000248,7,41.778,41.237,5.57,4.502,-0.383,-1.407
000249,0,30.356,29.426,1.985,0.444,-0.031,-1.307
000249,1,9.939,5.962,4.099,2.422,-0.104,-1.649
000249,2,9.904,5.704,8.501,6.938,-0.267,-1.68
000249,3,16.891,14.047,4.807,3.443,-0.28,-1.534
000249,4,18.239,15.82,8.782,7.657,-0.186,-1.031
000249,5,20.471,19.507,13.744,12.38,-0.293,-1.492
000250,0,11.518,7.714,7.228,4.802,-0.301,-1.725
000250,1,34.043,33.532,12.515,11.207,-1.383,-1.842
000250,2,17.976,14.637,8.198,6.153,-0.382,-1.819
000252,0,12.015,8.501,4.287,2.791,-0.317,-1.673
000252,1,39.938,38.993,5.282,3.866,-1.054,-1.349
000252,2,33.459,31.868,9.841,6.05,-0.267,-1.497
000260,0,52.04,51.725,2.054,0.944,-0.202,-0.521
000260,1,62.954,62.569,4.853,3.753,0.109,-0.29
000262,0,4.746,0.646,-1.726,-3.25,-0.191,-1.644
000262,1,9.828,6.293,-1.905,-3.439,-0.166,-1.511
000262,2,16.001,12.056,-1.726,-3.235,-0.091,-1.464
000262,3,22.333,19.374,4.146,2.626,-0.079,-1.554
000262,4,24.026,20.221,-1.977,-3.324,-0.097,-1.355
000262,5,31.67,28.51,-1.714,-3.057,-0.029,-1.252
000262,6,39.453,39.131,-1.449,-2.142,-0.616,-0.817
000266,0,9.705,6.493,-1.767,-3.526,-0.103,-1.496
000266,1,11.292,9.335,5.81,4.271,-0.339,-1.612
000266,2,16.787,13.211,-0.855,-2.838,0.085,-1.398
000266,3,18.388,14.377,6.978,5.129,-0.25,-1.559
000266,4,28.427,25.312,1.064,-0.797,0.003,-1.26
000266,5,33.678,30.523,8.744,7.296,-0.245,-1.477
000266,6,37.487,35.552,2.564,1.089,0.149,-0.971
000268,0,10.811,7.923,0.733,-0.989,-0.003,-1.583
000268,1,28.357,24.756,12.238,10.603,-0.028,-1.548
000269,0,10.546,7.18,9.345,5.935,0.247,-1.731
000269,1,25.023,23.807,17.872,16.75,-0.415,-1.913
000269,2,26.146,23.991,12.008,9.629,-0.35,-1.754
000269,3,30.073,27.64,14.967,12.78,-0.448,-1.824
000269,4,40.088,38.556,21.461,19.587,-0.413,-1.819
000269,5,21.242,18.507,8.94,5.943,-0.332,-1.729
000270,0,46.034,45.633,1.475,0.182,0.351,-0.752
000270,1,30.104,26.537,9.972,8.515,-0.213,-1.408
000270,2,52.514,49.811,11.169,9.888,0.376,-1.125
000272,0,42.156,41.441,0.219,-1.04,-0.668,-1.145
000273,0,34.314,30.948,17.272,13.466,1.228,-0.916
000273,1,35.111,33.544,14.572,12.095,0.774,-0.779
000273,10,61.725,60.942,-18.896,-19.446,0.859,0.408
000273,2,37.472,34.675,12.804,9.257,0.15,-0.623
000273,3,43.527,43.052,0.507,-0.12,0.14,-0.137
000273,4,47.265,45.559,-0.685,-2.785,0.923,-0.166
000273,5,50.17,50.066,-4.965,-5.114,-0.191,-0.192
000273,6,51.323,51.323,-6.796,-6.796,-0.202,-0.202
000273,7,52.244,52.244,-8.765,-8.765,-0.212,-0.212
000273,9,58.982,58.679,-17.299,-18.059,0.401,0.111
000278,0,51.931,51.691,4.172,3.271,-1.152,-1.462
000279,0,26.721,23.969,2.075,1.24,0.001,-1.179
000279,1,35.742,35.21,0.917,0.801,-0.076,-0.931
